Sample	Frequency	Magnitude	Phase	Marker	Timestamp
107	1384.886	88.32831	-15.40316	 	20:33:54
108	1450.829	87.79889	-15.05728	 	20:33:54
109	1519.911	87.1518	-14.65744	 	20:33:54
110	1592.283	86.6684	-14.41633	 	20:33:54
111	1668.101	86.32824	-13.9593	 	20:33:54
112	1747.528	85.85891	-13.75027	 	20:33:55
113	1830.738	85.52886	-13.35419	 	20:33:55
114	1917.91	84.89797	-13.01351	 	20:33:55
115	2009.233	84.60513	-12.64383	 	20:33:55
116	2104.904	84.22208	-12.21017	 	20:33:55
117	2205.131	83.73269	-11.95805	 	20:33:55
118	2310.13	83.51849	-11.63991	 	20:33:56
119	2420.128	83.20434	-11.44705	 	20:33:56
120	2535.365	83.01376	-11.09334	 	20:33:56
121	2656.088	82.56977	-10.73546	 	20:33:56
122	2782.559	82.23383	-10.59567	 	20:33:56
123	2915.053	81.98517	-10.27433	 	20:33:56
124	3053.855	81.68344	-10.02873	 	20:33:57
125	3199.267	78.49931	-9.605437	 	20:33:57
126	3351.603	68.97939	-7.704019	 	20:33:57
127	3511.192	64.90648	-6.471771	 	20:33:57
128	3678.38	72.94776	-6.552069	 	20:33:57
129	3853.529	77.07562	-7.420675	 	20:33:57
130	4037.017	77.52283	-7.280083	 	20:33:58
131	4229.243	77.52304	-7.183678	 	20:33:58
132	4430.622	77.55016	-7.092451	 	20:33:58
133	4641.589	77.59277	-6.974689	 	20:33:58
134	4862.602	77.01994	-6.887767	 	20:33:58
135	5094.138	76.9938	-6.776142	 	20:33:58
136	5336.699	77.35164	-6.561929	 	20:33:59
137	5590.81	83.39643	-6.387743	 	20:33:59
138	5857.021	83.22075	-6.550147	 	20:33:59
139	6135.907	82.75816	-6.612214	 	20:33:59
140	6428.073	81.74081	-6.571166	 	20:33:59
141	6734.151	85.9064	-6.195127	 	20:33:59
142	7054.802	77.6701	-6.4065	 	20:33:59
143	7390.722	77.05878	-6.224184	 	20:34:0
144	7742.637	76.89075	-6.148521	 	20:34:0
145	8111.308	76.82019	-5.957051	 	20:34:0
146	8497.534	75.61273	-6.070299	 	20:34:0
147	8902.15	74.44875	-6.073497	 	20:34:0
148	9326.033	70.80411	-6.133636	 	20:34:0
149	9770.1	69.94968	-5.972618	 	20:34:1
150	10235.31	70.46051	-5.877544	 	20:34:1
151	10722.67	74.10358	-5.405461	 	20:34:1
152	11233.24	74.17336	-5.290942	 	20:34:1
153	11768.12	73.93864	-5.184128	 	20:34:1
154	12328.47	73.99992	-5.006493	 	20:34:1
155	12915.5	74.38407	-4.865848	 	20:34:2
156	13530.48	74.48817	-4.705325	 	20:34:2
157	14174.74	74.41897	-4.600417	 	20:34:2
158	14849.68	69.5386	-5.145557	 	20:34:2
159	15556.76	69.6573	-5.207828	 	20:34:2
160	16297.51	76.83716	-4.43937	 	20:34:2
161	17073.53	74.68138	-4.244436	 	20:34:3
162	17886.5	74.13092	-4.164469	 	20:34:3
163	18738.17	78.4529	-4.22998	 	20:34:3
164	19630.41	75.97054	-3.858098	 	20:34:3
165	20565.12	72.814	-3.580713	 	20:34:3
166	21544.35	74.80698	-3.465117	 	20:34:3
167	22570.2	70.31587	-3.399279	 	20:34:4
168	23644.89	70.17298	-3.225114	 	20:34:4
169	24770.76	69.95857	-3.016945	 	20:34:4
170	25950.24	69.71455	-2.802773	 	20:34:4
171	27185.88	69.54356	-2.583358	 	20:34:4
172	28480.36	69.32499	-2.362802	 	20:34:4
173	29836.47	69.13813	-2.14834	 	20:34:5
174	31257.16	68.91597	-1.904478	 	20:34:5
175	32745.49	68.71176	-1.633408	 	20:34:5
176	34304.69	68.5039	-1.373002	 	20:34:5
177	35938.14	68.2269	-1.039566	 	20:34:5
178	37649.36	68.0223	-0.7546566	 	20:34:5
179	39442.06	67.80322	-0.4125675	 	20:34:6
180	41320.12	67.58067	-0.09073715	 	20:34:6
181	43287.61	67.3814	0.3187203	 	20:34:6
182	45348.79	67.2268	0.6861671	 	20:34:6
183	47508.1	67.04431	1.102298	 	20:34:6
184	49770.23	66.83769	1.482218	 	20:34:6
185	52140.08	66.63843	1.974395	 	20:34:7
186	54622.77	66.49957	2.413182	 	20:34:7
187	57223.68	66.39068	2.889436	 	20:34:7
188	59948.43	66.25175	3.378534	 	20:34:7
189	62802.91	66.13386	3.905915	 	20:34:7
190	65793.32	66.06313	4.439807	 	20:34:7
191	68926.12	65.95701	-354.9837	 	20:34:7
192	72208.09	65.91116	5.578025	 	20:34:8
193	75646.34	65.88012	6.184219	 	20:34:8
194	79248.29	65.83769	6.792916	 	20:34:8
195	83021.76	65.82471	7.450929	 	20:34:8
196	86974.9	65.82637	8.137718	 	20:34:8
197	91116.27	65.85676	8.830001	 	20:34:8
198	95454.84	65.9676	9.564715	 	20:34:9
199	100000	66.00815	10.23689	 	20:34:9
200	1000	92.48985	-18.95702	 	20:34:9
201	1047.616	91.69366	-18.55113	 	20:34:9
202	1097.499	91.15465	-17.96014	 	20:34:9
203	1149.757	90.1944	-17.48339	 	20:34:9
204	1204.504	89.75226	-17.08496	 	20:34:10
205	1261.857	89.17762	-16.6209	 	20:34:10
206	1321.941	88.54807	-16.12955	 	20:34:10
207	1384.886	87.82071	-15.61209	 	20:34:10
208	1450.829	87.22655	-15.25712	 	20:34:10
209	1519.911	86.77699	-15.00984	 	20:34:10
210	1592.283	86.49479	-14.60114	 	20:34:11
211	1668.101	85.83473	-14.25301	 	20:34:11
212	1747.528	85.37982	-13.75057	 	20:34:11
213	1830.738	84.79839	-13.44012	 	20:34:11
214	1917.91	84.53568	-13.11987	 	20:34:11
215	2009.233	83.96452	-12.83078	 	20:34:11
216	2104.904	83.54599	-12.4005	 	20:34:12
217	2205.131	83.37486	-12.11882	 	20:34:12
218	2310.13	82.94183	-11.88272	 	20:34:12
219	2420.128	82.44422	-11.55005	 	20:34:12
220	2535.365	82.05957	-11.27414	 	20:34:12
221	2656.088	81.90813	-10.89944	 	20:34:12
222	2782.559	81.39951	-10.63476	 	20:34:13
223	2915.053	81.27424	-10.37252	 	20:34:13
224	3053.855	80.9429	-10.10992	 	20:34:13
225	3199.267	80.58283	-9.750333	 	20:34:13
226	3351.603	80.33718	-9.533102	 	20:34:13
227	3511.192	80.07677	-9.373494	 	20:34:13
228	3678.38	79.77281	-9.102831	 	20:34:14
229	3853.529	79.48434	-8.856396	 	20:34:14
230	4037.017	79.33403	-8.716158	 	20:34:14
231	4229.243	78.95989	-8.460485	 	20:34:14
232	4430.622	78.74609	-8.275385	 	20:34:14
233	4641.589	78.56152	-8.085934	 	20:34:14
234	4862.602	78.36954	-7.971759	 	20:34:14
235	5094.138	78.19132	-7.694407	 	20:34:15
236	5336.699	77.864	-7.507691	 	20:34:15
237	5590.81	77.71793	-7.341908	 	20:34:15
238	5857.021	77.48412	-7.227162	 	20:34:15
239	6135.907	77.24519	-7.036724	 	20:34:15
