Sample	Magnitude	Phase	Marker	Hours
0.0236	260.094208	171.153351	 	17:32:36
0.0238	259.306763	-174.245438	 	17:32:36
0.024	257.608215	-159.313797	 	17:32:36
0.0242	259.699829	-144.718781	 	17:32:36
0.0244	259.788361	-130.003235	 	17:32:36
0.0246	258.089142	-115.4729	 	17:32:36
0.0248	259.665161	-100.877197	 	17:32:36
0.025	258.495636	-86.451324	 	17:32:36
0.0252	258.358276	-71.494926	 	17:32:36
0.0254	259.924988	-57.410465	 	17:32:36
0.0256	257.635406	-42.483128	 	17:32:37
0.0258	258.58847	-28.150688	 	17:32:37
0.026	256.867676	-13.278837	 	17:32:37
0.0262	257.048645	1.114563	 	17:32:37
0.0264	257.689728	15.762149	 	17:32:37
0.0266	257.623749	30.048325	 	17:32:37
0.0267999999999999	258.804932	44.686913	 	17:32:37
0.0269999999999999	256.56189	59.036247	 	17:32:37
0.0271999999999999	259.200684	73.872429	 	17:32:37
0.0273999999999999	259.094574	88.451843	 	17:32:37
0.0275999999999999	257.614044	103.011284	 	17:32:37
0.0277999999999999	259.470612	118.046516	 	17:32:38
0.0279999999999999	257.701385	132.168991	 	17:32:38
0.0281999999999999	259.331848	146.800156	 	17:32:38
0.0283999999999999	257.730469	161.91655	 	17:32:38
0.0285999999999999	259.624725	176.02446	 	17:32:38
0.0287999999999999	258.874481	-168.863693	 	17:32:38
0.0289999999999999	258.565277	-154.822464	 	17:32:38
0.0291999999999999	256.850159	-139.737442	 	17:32:38
0.0293999999999999	260.278687	-125.460915	 	17:32:38
0.0295999999999999	259.832642	-110.73671	 	17:32:38
0.0297999999999999	258.520782	-96.217819	 	17:32:38
0.0299999999999999	258.660004	-81.775925	 	17:32:38
0.0301999999999999	258.017456	-66.713936	 	17:32:38
0.0303999999999999	258.031006	-52.241871	 	17:32:38
0.0305999999999999	257.689728	-38.382015	 	17:32:39
0.0307999999999999	258.936279	-23.198591	 	17:32:39
0.0309999999999999	256.826782	-8.508704	 	17:32:39
0.0311999999999999	258.311829	5.776805	 	17:32:39
0.0313999999999999	258.544006	20.60792	 	17:32:39
0.0315999999999999	260.516785	35.154179	 	17:32:39
0.0317999999999999	258.259552	49.711529	 	17:32:39
0.0319999999999999	258.089142	64.527115	 	17:32:39
0.0321999999999999	261.03064	78.733124	 	17:32:39
0.0323999999999999	258.435669	93.327408	 	17:32:39
0.0325999999999999	258.681274	108.014694	 	17:32:39
