Sample	Frequency	Magnitude	Phase	Marker	Timestamp
9.29999999999998	7564.633	1086.821	-0.08574728	 	19:34:43
9.39999999999998	7924.829	1086.734	-0.0809288	 	19:34:43
9.49999999999998	8302.176	1086.661	-0.08275772	 	19:34:44
9.59999999999998	8697.49	1086.711	-0.09376716	 	19:34:44
9.69999999999998	9111.628	1086.806	-0.1072173	 	19:34:44
9.79999999999998	9545.484	1086.842	-0.1064832	 	19:34:44
9.89999999999998	10000	1086.779	-0.1160248	 	19:34:44
9.99999999999998	100	1092.131	0.983903	 	19:34:44
10.1	104.7616	1144.582	-357.9012	 	19:34:44
10.2	109.7499	1386.12	-1.820482	Peak	19:34:44
10.3	114.9757	1220.558	-5.434753	Peak	19:34:44
10.4	120.4504	1160.956	-17.84448	Peak	19:34:44
10.5	126.1857	1023.692	-5.939789	 	19:34:44
10.6	132.1941	949.3072	-1.979462	 	19:34:44
10.7	138.4886	1065.354	0.4837857	 	19:34:44
10.8	145.0829	1086.656	0.0853142	 	19:34:45
10.9	151.9911	1092.621	0.33003	 	19:34:45
11	159.2283	1144.539	-0.3654281	 	19:34:45
11.1	166.8101	1110.603	-1.692128	 	19:34:45
11.2	174.7528	1054.484	-3.174447	 	19:34:45
11.3	183.0738	1072.516	-0.1578223	 	19:34:45
11.4	191.791	1084.363	0.1664701	 	19:34:45
11.5	200.9233	1088.577	0.1434328	 	19:34:45
11.6	210.4904	1108.946	-0.4670076	 	19:34:45
11.7	220.5131	1085.472	-0.699266	 	19:34:45
11.8	231.013	1074.324	-0.1307651	 	19:34:45
11.9	242.0128	1086.496	0.03719072	 	19:34:45
12	253.5365	1091.958	0.08372061	 	19:34:46
12.1	265.6088	1089.322	-0.2842602	 	19:34:46
12.2	278.256	1079.907	-0.1388215	 	19:34:46
12.3	291.5053	1086.573	0.01679742	 	19:34:46
12.4	305.3856	1090.499	0.00459461	 	19:34:46
12.5	319.9267	1086.709	-0.1422801	 	19:34:46
12.6	335.1603	1086.498	0.04572259	 	19:34:46
12.7	351.1192	1087.511	0.02079107	 	19:34:46
12.8	367.838	1086.06	-0.1569335	 	19:34:46
12.9	385.3528	1086.392	0.01350665	 	19:34:46
13	403.7017	1088.056	0.02349528	 	19:34:46
13.1	422.9243	1086.141	-0.00133028	 	19:34:46
13.2	443.0621	1086.646	0.01031171	 	19:34:47
13.3	464.1589	1086.824	-0.02201791	 	19:34:47
13.4	486.2602	1086.931	0.01640104	 	19:34:47
13.5	509.4138	1086.94	-0.008109865	 	19:34:47
13.6	533.6699	1086.645	0.0097543	 	19:34:47
13.7	559.081	1086.751	-0.007365469	 	19:34:47
13.8	585.7021	1086.576	0.01565232	 	19:34:47
13.9	613.5907	1086.51	0.002653115	 	19:34:47
14	642.8073	1086.612	0.007723875	 	19:34:47
14.1	673.415	1086.562	0.01064978	 	19:34:47
14.2	705.4802	1086.738	-0.002376221	 	19:34:47
14.3	739.0722	1086.602	0.008290357	 	19:34:47
14.4	774.2637	1086.627	0.0108532	 	19:34:48
14.5	811.1309	1086.48	0.006604571	 	19:34:48
14.6	849.7534	1086.642	-0.003762671	 	19:34:48
14.7	890.2151	1086.545	0.01035304	 	19:34:48
14.8	932.6033	1086.626	0.008172546	 	19:34:48
14.9	977.0099	1086.758	0.00914686	 	19:34:48
15	1023.531	1086.548	0.01384827	 	19:34:48
15.1	1072.267	1086.734	0.006496292	 	19:34:48
15.2	1123.324	1086.604	0.006219119	 	19:34:48
15.3	1176.812	1086.628	0.004280154	 	19:34:48
15.4	1232.847	1086.601	0.006388441	 	19:34:48
15.5	1291.55	1086.818	-0.0009022038	 	19:34:48
15.6	1353.048	1086.669	0.00562261	 	19:34:48
15.7	1417.474	1086.702	0.008139353	 	19:34:49
15.8	1484.968	1086.6	0.000134022	 	19:34:49
15.9	1555.676	1086.722	0.000152541	 	19:34:49
16	1629.751	1086.594	0.0001795058	 	19:34:49
16.1	1707.353	1086.83	-0.01391196	 	19:34:49
16.2	1788.65	1086.533	-0.01244537	 	19:34:49
16.3	1873.817	1086.737	-0.007272557	 	19:34:49
16.4	1963.041	1086.825	-0.007098805	 	19:34:49
16.5	2056.512	1086.698	-0.006598777	 	19:34:49
16.6	2154.435	1086.731	-0.009388891	 	19:34:49
16.7	2257.02	1086.737	-0.009720526	 	19:34:49
16.8	2364.49	1086.659	-0.00511267	 	19:34:49
16.9	2477.076	1086.764	-0.02210499	 	19:34:50
17	2595.024	1086.54	-0.01460082	 	19:34:50
17.1	2718.588	1086.684	-0.01810165	 	19:34:50
