Sample	Frequency	Magnitude	Phase	Marker	Timestamp
107	1384.886	5006.962	0.06416611	 	19:10:58
108	1450.829	5005.604	0.07199739	 	19:10:59
109	1519.911	5006.877	0.06801536	 	19:10:59
110	1592.283	5007.1	0.06507349	 	19:10:59
111	1668.101	5006.746	0.07646855	 	19:10:59
112	1747.528	5006.708	0.08506764	 	19:10:59
113	1830.738	5007.075	0.08465634	 	19:10:59
114	1917.91	5006.657	0.08070275	 	19:11:0
115	2009.233	5007.001	0.08349768	 	19:11:0
116	2104.904	5007.355	0.09227562	 	19:11:0
117	2205.131	5007.373	0.08537211	 	19:11:0
118	2310.13	5007.014	0.09841008	 	19:11:0
119	2420.128	5007.451	0.09490062	 	19:11:0
120	2535.365	5007.547	0.1043329	 	19:11:1
121	2656.088	5007.852	0.1043816	 	19:11:1
122	2782.559	5008.074	0.1029969	 	19:11:1
123	2915.053	5008.364	0.1098505	 	19:11:1
124	3053.855	5008.163	0.1142458	 	19:11:1
125	3199.267	5008.681	0.11564	 	19:11:1
126	3351.603	5008.893	0.1256292	 	19:11:2
127	3511.192	5009.598	0.1241636	 	19:11:2
128	3678.38	5009.815	0.1240362	 	19:11:2
129	3853.529	5010.146	0.134491	 	19:11:2
130	4037.017	5010.432	0.1327228	 	19:11:2
131	4229.243	5010.571	0.1336188	 	19:11:2
132	4430.622	5010.987	0.1373957	 	19:11:2
133	4641.589	5011.276	0.1355632	 	19:11:3
134	4862.602	5011.748	0.1499434	 	19:11:3
135	5094.138	5011.807	0.1514589	 	19:11:3
136	5336.699	5012.429	0.1521038	 	19:11:3
137	5590.81	5012.414	0.1551224	 	19:11:3
138	5857.021	5012.511	0.1584103	 	19:11:4
139	6135.907	5013.214	0.1617004	 	19:11:4
140	6428.073	5013.313	0.1597098	 	19:11:4
141	6734.151	5013.695	0.1646913	 	19:11:4
142	7054.802	5014.257	0.1728937	 	19:11:4
143	7390.722	5014.452	0.1695464	 	19:11:4
144	7742.637	5014.568	0.1736932	 	19:11:4
