Sample	Magnitude	Phase	Marker
0.0345999999999999	160.962723	-18.097258	 
0.0347999999999999	161.310257	-3.554178	 
0.0349999999999999	161.012421	11.10057	 
0.0351999999999999	161.012421	25.769329	 
0.0353999999999999	221.074524	40.215469	Peak
0.0355999999999999	161.471359	54.833569	 
0.0357999999999999	161.049683	69.652153	 
0.0359999999999999	160.798004	84.289413	 
0.0361999999999999	160.801117	98.583626	 
0.0363999999999999	161.245148	113.385223	 
0.0365999999999999	161.027954	127.937408	 
0.0367999999999999	161.207947	142.561432	 
0.0369999999999999	160.850861	156.941727	 
0.0371999999999999	161.789993	171.469238	 
0.0373999999999999	160.900589	-173.935089	 
0.0375999999999999	161.400131	-159.319305	 
0.0377999999999999	161.235855	-144.338394	 
0.0379999999999999	161.839432	-129.986893	 
0.0381999999999999	161.483749	-115.295547	 
0.0383999999999999	161.805435	-100.684921	 
0.0385999999999999	161.310257	-86.445824	 
0.0387999999999999	161.276154	-71.565056	 
0.0389999999999999	161.149002	-56.901608	 
0.0391999999999999	161.375336	-42.488636	 
0.0393999999999999	161.474457	-27.675911	 
0.0395999999999999	161.300964	-13.260859	 
0.0397999999999999	161.049683	1.423205	 
0.0399999999999999	161.124176	15.847706	 
0.0401999999999999	161.384628	30.537546	 
0.0403999999999999	161.220352	45	 
0.0405999999999999	160.87883	59.769203	 
0.0407999999999999	161.124176	74.152298	 
0.0409999999999999	161.027954	88.932503	 
0.0411999999999999	161.533279	103.60611	 
0.0413999999999999	161.05899	118.156197	 
0.0415999999999999	161.375336	132.488632	 
0.0417999999999999	161.446579	147.392715	 
0.0419999999999999	161.276154	161.565048	 
0.0421999999999999	161.310257	176.445816	 
0.0423999999999999	161.012421	-168.899429	 
0.0425999999999999	161.913559	-154.384521	 
0.0427999999999999	161.074524	-139.784515	 
0.0429999999999999	161.471359	-125.166443	 
0.0431999999999998	161.400131	-110.680695	 
0.0433999999999998	160.900589	-96.064926	 
0.0435999999999998	160.801117	-81.416382	 
0.0437999999999998	160.850861	-66.941727	 
0.0439999999999998	161.817795	-52.280293	 
0.0441999999999998	161.817795	-37.719711	 
0.0443999999999998	160.850861	-23.058277	 
0.0445999999999998	161.789993	-8.530766	 
0.0447999999999998	160.900589	6.064922	 
0.0449999999999998	161.400131	20.680693	 
0.0451999999999998	161.471359	35.166435	 
0.0453999999999998	161.074524	49.784531	 
0.0455999999999998	161.913559	64.384521	 
0.0457999999999998	161.012421	78.899437	 
0.0459999999999998	161.310257	93.554184	 
0.0461999999999998	160.962723	108.09726	 
0.0463999999999998	161.987656	122.905251	 
0.0465999999999998	161.375336	137.511368	 
0.0467999999999998	161.941345	152.010757	 
0.0469999999999998	161.533279	166.393906	 
0.0471999999999998	161.027954	-178.932495	 
0.0473999999999998	162.086395	-164.248825	 
0.0475999999999998	162.246719	-149.641876	 
0.0477999999999998	161.220352	-135	 
0.0479999999999998	161.384628	-120.537552	 
0.0481999999999998	161.124176	-105.84771	 
0.0483999999999998	161.049683	-91.42321	 
0.0485999999999998	161.300964	-76.739143	 
0.0487999999999998	161.474457	-62.324089	 
0.0489999999999998	161.375336	-47.511368	 
0.0491999999999998	161.149002	-33.098392	 
0.0493999999999998	161.276154	-18.434948	 
0.0495999999999998	161.375336	-3.908544	 
0.0497999999999998	160.822891	10.750966	 
0.0499999999999998	161.483749	25.295547	 
0.0501999999999998	161.074524	40.215469	 
0.0503999999999998	160.654907	54.628159	 
0.0505999999999998	161.400131	69.319313	 
0.0507999999999998	161.895035	83.972473	 
0.0509999999999998	161.644669	98.180237	 
0.0511999999999998	161.771439	112.919556	 
0.0513999999999998	161.207947	127.438568	 
0.0515999999999998	161.027954	142.062592	 
0.0517999999999998	161.245148	156.614777	 
0.0519999999999998	160.801117	171.416382	 
0.0521999999999998	161.793076	-174.324646	 
0.0523999999999998	161.049683	-159.652145	 
0.0525999999999998	161.471359	-144.833557	 
0.0527999999999998	161.721985	-130.486008	 
0.0529999999999998	161.012421	-115.769333	 
0.0531999999999998	161.012421	-101.100571	 
0.0533999999999998	161.310257	-86.445824	 
0.0535999999999998	160.962723	-71.902748	 
0.0537999999999998	161.446579	-57.392715	 
0.0539999999999998	161.319565	-42.990448	 
0.0541999999999998	161.05899	-28.156191	 
0.0543999999999998	161.533279	-13.606104	 
0.0545999999999998	161.027954	1.0675	 
0.0547999999999998	161.817795	15.410393	 
0.0549999999999998	161.743622	30.05245	 
0.0551999999999998	161.220352	45	 
0.0553999999999998	221.384628	59.46246	Peak
0.0555999999999998	161.400131	73.810791	 
0.0557999999999998	162.049377	88.585579	 
0.0559999999999998	161.300964	103.260864	 
0.0561999999999998	161.474457	117.675911	 
0.0563999999999998	161.375336	132.488632	 
0.0565999999999998	161.149002	146.901611	 
0.0567999999999998	161.276154	161.565048	 
0.0569999999999998	161.375336	176.091461	 
0.0571999999999998	161.805435	-169.315094	 
0.0573999999999998	161.483749	-154.704453	 
0.0575999999999998	161.198639	-140.285446	 
0.0577999999999998	161.235855	-125.661598	 
0.0579999999999998	161.755981	-111.012085	 
0.0581999999999998	161.009323	-96.418785	 
0.0583999999999998	161.644669	-81.819771	 
0.0585999999999998	161.384628	-67.407448	 
0.0587999999999998	161.207947	-52.561432	 
0.0589999999999998	161.644669	-38.216949	 
0.0591999999999998	161.245148	-23.385221	 
0.0593999999999998	160.953415	-8.935614	 
0.0595999999999998	161.793076	5.675356	 
0.0597999999999997	161.049683	20.347851	 
0.0599999999999997	160.897476	34.875328	 
0.0601999999999997	161.721985	49.513988	 
0.0603999999999997	161.012421	64.230675	 
0.0605999999999997	161.207947	78.550667	 
0.0607999999999997	161.251358	93.199547	 
0.0609999999999997	161.607544	107.650124	 
0.0611999999999997	161.446579	122.607292	 
0.0613999999999997	161.319565	137.009552	 
0.0615999999999997	161.533279	151.531082	 
0.0617999999999997	161.533279	166.393906	 
0.0619999999999997	161.012421	-179.2883	 
0.0621999999999997	161.817795	-164.589615	 
0.0623999999999997	161.245148	-150.255112	 
0.0625999999999997	161.226547	-135.502579	 
0.0627999999999997	161.037262	-121.02478	 
